"","state","friday","deaths","positives","negatives"
"561","MI",2020-07-31,50,5502,224299
"562","MN",2020-07-31,34,4975,-93497
"563","MO",2020-07-31,65,10971,63187
"564","MS",2020-07-31,200,9084,33941
"565","MT",2020-07-31,14,926,19844
"566","NC",2020-07-31,178,13153,193652
"567","ND",2020-07-31,7,853,10401
"568","NE",2020-07-31,12,1948,19934
"569","NH",2020-07-31,10,226,8291
"570","NJ",2020-07-31,99,3315,205370
"571","NM",2020-07-31,39,2225,52427
"572","NV",2020-07-31,108,7203,40829
"573","NY",2020-07-31,60,4564,439828
"574","OH",2020-07-31,192,9413,191293
"575","OK",2020-07-31,57,7371,95165
"576","OR",2020-07-31,40,2388,35238
"577","PA",2020-07-31,88,6477,105447
"578","RI",2020-07-31,5,798,15190
"579","SC",2020-07-31,327,10409,53054
"580","SD",2020-07-31,8,564,7581
"581","TN",2020-07-31,122,16881,173911
"582","TX",2020-07-31,1852,51120,386701
"583","UT",2020-07-31,31,3234,31605
"584","VA",2020-07-31,107,7524,112924
"585","VT",2020-07-31,1,29,6647
"586","WA",2020-07-31,82,4980,87612
"587","WI",2020-07-31,56,6207,86869
"588","WV",2020-07-31,13,947,29868
"589","AK",2020-07-24,2,667,34491
"590","AL",2020-07-24,173,12914,52955
"591","AR",2020-07-24,41,5487,48480
"592","AZ",2020-07-24,559,17778,54071
"593","CA",2020-07-24,711,69170,802607
"594","CO",2020-07-24,30,3588,42940
"595","CT",2020-07-24,17,883,82081
"596","DC",2020-07-24,4,534,23119
"597","DE",2020-07-24,57,865,14851
"598","FL",2020-07-24,856,75071,320797
"599","GA",2020-07-24,310,26218,157548
"600","IA",2020-07-24,39,3549,35871
"601","ID",2020-07-24,24,3603,16271
"602","IL",2020-07-24,113,9190,257101
"603","IN",2020-07-24,81,5785,68329
"604","KS",2020-07-24,27,3144,25470
"605","KY",2020-07-24,33,4326,46088
"606","LA",2020-07-24,206,15144,140642
"607","MA",2020-07-24,95,2106,82787
"608","MD",2020-07-24,63,5395,90739
"609","ME",2020-07-24,3,121,17054
"610","MI",2020-07-24,45,4479,184661
"611","MN",2020-07-24,33,4475,98890
"612","MO",2020-07-24,57,8064,66655
"613","MS",2020-07-24,131,8834,31182
"614","MT",2020-07-24,9,673,18123
"615","NC",2020-07-24,140,13518,192805
"616","ND",2020-07-24,6,824,12411
"617","NE",2020-07-24,17,1684,21194
"618","NH",2020-07-24,10,153,7853
"619","NJ",2020-07-24,135,1794,116922
"620","NM",2020-07-24,34,2025,51592
"621","NV",2020-07-24,85,7590,37274
"622","NY",2020-07-24,66,4899,440497
"623","OH",2020-07-24,185,9466,142038
"624","OK",2020-07-24,39,4976,53022
"625","OR",2020-07-24,28,2302,40070
"626","PA",2020-07-24,109,6093,99465
"627","RI",2020-07-24,12,431,10396
"628","SC",2020-07-24,289,12547,63450
"629","SD",2020-07-24,6,411,7106
"630","TN",2020-07-24,123,15259,156682
"631","TX",2020-07-24,982,62254,402356
"632","UT",2020-07-24,38,4390,41875
"633","VA",2020-07-24,54,6931,106664
"634","VT",2020-07-24,0,51,8275
"635","WA",2020-07-24,55,5612,89465
"636","WI",2020-07-24,45,6659,83083
"637","WV",2020-07-24,3,912,29709
"638","AK",2020-07-17,0,758,22725
"639","AL",2020-07-17,161,12583,58316
"640","AR",2020-07-17,40,4959,37126
"641","AZ",2020-07-17,501,21631,74126
"642","CA",2020-07-17,624,61867,806495
"643","CO",2020-07-17,34,3201,44008
"644","CT",2020-07-17,48,606,71041
"645","DC",2020-07-17,9,372,20351
"646","DE",2020-07-17,4,685,15217
"647","FL",2020-07-17,709,83090,376051
"648","GA",2020-07-17,167,23972,128358
"649","IA",2020-07-17,41,3738,36467
"650","ID",2020-07-17,14,3705,18536
"651","IL",2020-07-17,128,7610,246989
"652","IN",2020-07-17,55,4513,49560
"653","KS",2020-07-17,15,3354,28220
"654","KY",2020-07-17,38,2935,47437
"655","LA",2020-07-17,129,13954,124738
"656","MA",2020-07-17,103,1769,74202
"657","MD",2020-07-17,56,4461,82692
"658","ME",2020-07-17,4,137,14902
"659","MI",2020-07-17,70,4908,173793
"660","MN",2020-07-17,40,4246,89440
"661","MO",2020-07-17,70,5289,77782
"662","MS",2020-07-17,117,6207,34945
"663","MT",2020-07-17,9,773,17453
"664","NC",2020-07-17,127,14146,179216
